"","scale","prl","lgl","plc"
"768",6,7,7,7
"769",5,5,5,8
"770",0,1,5,7
"771",8,7,5,7
"772",8,9,6,7
"773",3,6,7,7
"774",7,7,6,8
"776",2,6,8,6
"777",6,4,6,4
"778",8,7,7,8
"779",4,6,8,8
"780",5,3,4,6
"781",6,6,7,8
"782",2,9,7,10
"783",5,6,5,7
"784",4,3,8,5
"787",5,5,7,7
"788",2,7,9,9
"789",4,7,8,7
"790",2,4,4,4
"791",8,7,6,9
"792",10,5,8,8
"793",5,8,7,9
"794",5,5,5,8
"795",6,7,7,7
"796",5,6,7,7
"797",7,3,6,2
"798",5,3,3,5
"799",5,4,5,7
"800",3,4,7,6
"801",5,6,6,7
"802",7,7,8,8
"803",6,4,7,6
"804",3,8,8,8
"805",5,7,8,7
"807",3,5,7,8
"809",4,8,7,9
"810",3,8,7,8
"811",1,8,9,7
"812",2,7,5,5
"813",0,5,5,7
"814",7,7,8,8
"815",5,5,5,4
"816",3,7,8,8
"817",5,5,5,7
"818",4,5,4,2
"819",0,7,9,7
"820",8,7,7,7
"821",10,7,7,7
"822",8,7,8,7
"823",6,6,6,8
"824",5,8,9,9
"825",1,4,5,5
"826",7,7,9,9
"828",5,5,7,7
"830",5,7,7,6
"831",4,7,5,8
"832",4,4,6,7
"833",3,7,8,7
"834",4,2,4,5
"835",8,7,7,8
"836",1,2,9,9
"837",10,6,8,8
"839",6,7,7,8
"840",3,5,7,7
"842",3,7,7,7
"844",3,7,7,6
"845",6,6,4,6
"846",7,7,8,7
"847",7,7,7,8
"848",7,8,10,5
"849",6,7,8,9
"851",7,6,6,7
"852",6,6,6,6
"854",8,5,7,7
"856",10,3,4,8
"857",5,8,9,8
"858",5,7,6,8
"859",4,5,7,7
"860",6,6,7,7
"861",8,5,9,8
"862",3,8,8,8
"864",5,2,7,6
"865",5,8,8,7
"866",3,7,9,7
"867",1,6,5,7
"868",5,7,8,7
"869",0,4,4,3
"870",6,7,7,9
"871",5,3,5,3
"872",4,8,9,8
"873",3,6,6,7
"874",7,5,5,7
"875",2,4,8,5
"877",5,6,2,2
"879",5,7,8,9
"880",6,7,6,8
"881",6,7,7,6
"882",5,6,7,6
"883",7,4,7,7
"884",7,7,8,8
"885",4,7,8,8
"886",8,8,9,9
"887",2,8,9,8
"888",6,6,6,7
"889",4,6,7,7
"890",8,5,5,9
"891",3,6,6,7
"893",4,6,6,4
"894",6,4,8,8
"895",2,7,8,8
"896",5,6,8,8
"897",6,2,2,4
"898",3,7,7,6
"899",8,7,8,8
"900",4,3,8,8
"901",5,6,6,6
"902",5,7,7,8
"903",7,5,7,6
"904",7,8,7,7
"906",5,7,8,7
"907",6,9,7,7
"908",8,7,7,7
"909",5,8,9,9
"910",5,7,7,6
"911",4,7,8,0
"912",4,6,8,9
"913",4,2,4,7
"914",5,8,9,7
"915",3,2,7,2
"916",10,0,1,1
"920",5,5,5,5
"921",7,7,6,7
"922",5,2,0,5
"923",5,4,4,4
"924",4,6,7,7
"925",4,8,9,8
"926",4,7,8,7
"927",6,7,7,7
"928",5,7,8,9
"929",0,6,2,8
"930",3,7,9,8
"932",4,6,7,6
"933",3,9,7,10
"934",3,5,6,7
"935",2,7,7,7
"936",3,7,6,8
"937",5,3,3,7
"938",2,2,8,8
"940",3,7,7,7
"941",5,5,3,8
"942",2,8,7,7
"943",4,4,7,5
"944",8,7,8,5
"945",5,7,8,9
"946",5,10,7,9
"947",2,7,9,8
"948",4,6,6,5
"949",0,7,8,8
"951",5,5,7,8
"952",0,7,6,7
"953",7,6,8,9
"954",8,6,8,7
"955",6,7,4,5
"956",8,7,8,8
"957",4,8,8,8
"958",5,6,3,3
"959",5,4,8,8
"960",7,7,7,8
"961",4,6,6,7
"962",5,4,2,6
"963",5,6,8,7
"964",7,6,7,8
"965",5,5,6,10
"967",6,7,8,8
"968",1,5,2,6
"969",2,6,8,7
"970",8,7,9,9
"971",2,7,9,8
"972",5,6,5,6
"973",5,7,9,8
"974",9,4,3,7
"976",4,6,7,6
"977",0,7,8,8
"978",5,6,6,7
"979",7,7,7,8
"980",7,9,9,8
"981",8,5,8,8
"982",5,6,6,7
"983",6,7,8,8
"985",3,5,7,5
"986",3,7,6,6
"987",5,6,7,5
"988",7,9,10,9
"989",7,8,8,7
"990",3,2,5,6
"991",6,3,8,9
"992",5,7,8,7
"993",7,5,5,7
"994",5,6,7,8
"995",6,7,8,6
"996",3,7,9,8
"997",7,6,5,7
"998",6,8,9,8
"999",4,7,6,7
"1000",8,5,2,2
"1001",5,5,9,9
"1002",3,4,8,6
"1003",7,7,8,7
"1004",6,8,9,9
"1006",7,5,8,10
"1007",9,6,6,8
"1008",6,6,7,7
"1009",4,6,6,7
"1010",6,8,7,7
"1011",7,4,4,4
"1012",6,5,7,5
"1013",5,7,0,1
"1014",3,8,8,9
"1015",7,7,8,7
"1016",5,5,6,6
"1017",5,7,7,9
"1018",8,5,8,9
"1019",7,7,6,6
"1020",6,8,7,9
"1021",10,2,8,8
"1022",4,4,4,6
"1024",4,6,6,8
"1025",6,7,9,9
"1026",3,8,5,6
"1027",4,5,9,9
"1028",2,6,7,8
"1029",4,8,9,8
"1030",5,7,8,7
"1031",3,7,9,9
"1032",5,6,7,9
"1033",7,4,6,6
"1034",7,5,7,6
"1035",7,8,9,8
"1036",6,7,8,8
"1037",5,2,2,7
"1038",5,8,8,9
"1039",4,6,7,7
"1040",7,3,5,8
"1041",6,8,9,9
"1042",5,2,7,4
"1043",8,5,4,8
"1044",7,7,9,7
"1045",3,6,7,7
"1046",4,6,5,5
"1047",7,6,9,7
"1048",5,5,7,7
"1049",7,7,8,9
"1050",8,2,4,2
"1051",5,6,6,7
"1054",3,8,8,8
"1055",6,8,9,9
"1056",10,5,3,8
"1057",0,7,7,6
"1058",4,6,5,5
"1059",4,7,9,8
"1060",8,7,8,8
"1061",5,7,8,8
"1062",3,6,7,5
"1063",6,8,7,8
"1064",4,0,5,8
"1065",5,1,4,6
"1066",2,9,9,9
"1067",5,7,8,6
"1068",5,8,8,7
"1069",7,6,6,7
"1070",7,6,7,5
"1071",4,8,9,9
"1072",5,7,6,8
"1073",9,7,6,7
"1074",4,7,7,7
"1075",7,8,9,9
"1076",5,3,1,4
"1077",6,7,7,8
"1078",5,6,8,7
"1079",3,8,8,8
